OBJECTID,DIVISION,LOCATION,PREC,LAT,LON
1,HARBOR,2175 JOHN S. GIBSON BLVD.,5,33.736211,-118.28817
2,SOUTHEAST,145 W. 108TH ST.,18,33.938436,-118.277160
3,77TH STREET,7600 S. BROADWAY,12,33.970587,-118.277914
4,PACIFIC,12312 CULVER BLVD.,14,34.0042,-118.4256
5,SOUTHWEST,1546 MARTIN LUTHER KING JR. BLVD.,3,34.0105,-118.3079
6,NEWTON,3400 S. CENTRAL AVE.,13,34.0119,-118.25611
7,CENTRAL,251 E. 6TH ST.,1,34.0439,-118.2474
8,WEST LOS ANGELES,1663 BUTLER AVE.,8,34.0438,-118.4508
9,HOLLENBECK,2111 E. 1ST ST.,4,34.04475,-118.21330
10,WILSHIRE,4861 VENICE BLVD.,7,34.0466368,-118.3426277
11,OLYMPIC,1130 S. VERMONT AVE.,20,34.0504,-118.2899
12,RAMPART,1401 W. 6TH ST.,2,34.0567,-118.2671
13,HOLLYWOOD,1358 N. WILCOX AVE.,6,34.09577,-118.33058
14,NORTHEAST,3353 SAN FERNANDO RD.,11,34.1193,-118.24926
15,NORTH HOLLYWOOD,11640 BURBANK BLVD.,15,34.1718623,-118.3859932
16,VAN NUYS,6240 SYLMAR AVE.,9,34.1839518,-118.4449574
17,WEST VALLEY,19020 VANOWEN ST.,10,34.1934154,-118.5475231
18,TOPANGA,21501 SCHOENBORN ST.,21,34.2210579,-118.5976868
19,FOOTHILL,12760 OSBORNE ST.,16,34.2531,-118.4104
20,DEVONSHIRE,10250 ETIWANDA AVE.,17,34.25694,-118.53135
21,MISSION,11121 N. SEPULVEDA BLVD.,19,34.2703,-118.4955